Name,Transmission,KM_Driven,Fuel_Type,Owner,Registration,EMI,Sales,Year,Types,City
2020 Maruti New  Wagon-R LXI CNG 1.0 L,MANUAL,"20,724 km",Petrol + CNG,1st Owner,DL-1C,"?11,626/month","Fixed Price?5,94,699",20-Sep,CNG,New Delhi
2017 Maruti Celerio ZXI OPT AMT,AUTOMATIC,"87,848 km",Petrol,1st Owner,TS-08-x-xxxx,"?8,893/month","?4,65,799?4,54,899",17-Jan,Maruti,Hyderabad
2010 Hyundai i10 ERA 1.1 IRDE,MANUAL,"60,476 km",Petrol,2nd Owner,KL-40,"?3,775/month","?2,29,099?1,93,099",10-Aug,,Kochi
2013 Maruti Alto 800 LXI,MANUAL,"40,700 km",Petrol,1st Owner,TN-12-x-xxxx,"?5,019/month","Fixed Price?2,56,699",13-Jul,Cars from 2 lakh - 5 lakh,Chennai
2021 Mahindra XUV 3OO W8 (O) AT,,"4,022 km",Petrol,1st Owner,MH-12,"?22,781/month","Fixed Price?12,13,099",21-Dec,Mahindra,Pune
2017 Skoda Rapid AMBITION 1.6 MPFI MT,MANUAL,"46,204 km",Petrol,1st Owner,KL-07,"?11,949/month","Fixed Price?6,11,199",17-Apr,Cars from 5 lakh - 10 lakh,Kochi
2013 Volkswagen Polo HIGHLINE1.2L PETROL,MANUAL,"39,352 km",Petrol,2nd Owner,MH-01,"?7,591/month","Fixed Price?3,88,299",13-Apr,Volkswagen,Mumbai
2009 Hyundai i10 SPORTZ 1.2 AT,AUTOMATIC,"49,839 km",Petrol,1st Owner,MH-12,"?5,128/month","Fixed Price?2,62,299",9-Oct,,Pune
2019 Ford Ecosport 1.0 ECOBOOST TITANIUM SPORTS(SUNROOF),MANUAL,"29,221 km",Petrol,1st Owner,TN-02-x-xxxx,"?19,258/month","Fixed Price?10,25,499",19-Oct,Ford,Chennai
2016 Hyundai Eon ERA PLUS,MANUAL,"61,372 km",Petrol,1st Owner,MP-37,"?6,129/month","Fixed Price?3,13,499",16-Sep,,Indore
2016 Ford Ecosport 1.5TITANIUM TDCI,MANUAL,"41,283 km",Diesel,1st Owner,UP-32-x-xxxx,"?13,179/month","Fixed Price?6,74,099",16-Oct,Ford,Lucknow
2010 Ford Figo 1.2 ZXI DURATEC,MANUAL,"79,565 km",Petrol,2nd Owner,KA-03-x-xxxx,"?5,220/month","Fixed Price?2,66,999",10-Oct,Ford,Bangalore
2021 Tata PUNCH CREATIVE  AMT,,"12,459 km",Petrol,1st Owner,KA-50-x-xxxx,"?18,125/month","Fixed Price?9,65,149",21-Nov,Tata,Bangalore
2017 Volkswagen Vento 1.2 TSI HIGHLINE PLUS AT,AUTOMATIC,"36,381 km",Petrol,1st Owner,RJ-14,"?15,710/month","Fixed Price?8,36,599",,Volkswagen,Jaipur
2012 Maruti Swift VXI,MANUAL,"74,741 km",Petrol,1st Owner,MH-04,"?6,970/month","Fixed Price?3,56,499",12-Aug,,Mumbai
2021 Volkswagen Vento Highline 1.0 TSI MT,MANUAL,"8,689 km",Petrol,1st Owner,MH-46,"?20,432/month","?11,11,999?10,87,999",21-Jun,Cars above 10 lakh,Mumbai
2017 Ford Ecosport 1.5 TITANIUM PLUS TI VCT AT,AUTOMATIC,"14,416 km",Petrol,2nd Owner,KL-07,"?18,351/month","Fixed Price?9,77,199",17-Oct,Ford,Kochi
2020 Tata Tiago XE 1.2 REVOTRON,MANUAL,"11,084 km",Petrol,1st Owner,MP-04,"?9,552/month","?4,96,399?4,88,599",20-Aug,Tata,Indore
2019 Renault Captur RXT PETROL,MANUAL,"55,608 km",Petrol,2nd Owner,GJ-01,"?13,623/month","?7,25,899?6,96,799",19-Mar,Renault,Ahmedabad
